Norway, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 19/04/2023
Year    Age        Exposure
1979     40        20845.09
1979     41        20243.70
1979     42        19287.92
1979     43        18727.24
1979     44        18732.46
1979     45        18482.24
1979     46        19291.34
1979     47        20089.89
1979     48        21094.99
1979     49        20740.58
1979     50        20991.25
1979     51        21346.00
1979     52        21989.67
1979     53        22561.08
1979     54        23042.92
1979     55        24104.67
1980     12        32404.16
1980     13        32110.54
1980     14        32085.77
1980     15        31688.41
1980     16        30877.47
1980     17        30475.89
1980     18        29931.03
1980     19        29781.59
1980     20        29938.23
1980     21        30200.04
1980     22        30293.35
1980     23        30403.17
1980     24        30437.60
1980     25        30122.24
1980     26        29828.47
1980     27        30060.17
1980     28        28714.75
1980     29        28838.69
1980     30        29352.53
1980     31        29622.70
1980     32        30666.66
1980     33        31932.77
1980     34        31380.36
1980     35        28790.12
1980     36        27213.33
1980     37        24129.87
1980     38        22147.71
1980     39        20822.47
1980     40        21295.98
1980     41        20822.84
1980     42        20218.19
1980     43        19265.11
1980     44        18716.36
1980     45        18720.24
1980     46        18456.09
1980     47        19249.78
1980     48        20049.61
1980     49        21056.11
1980     50        20691.33
1980     51        20935.83
1980     52        21279.33
1980     53        21899.50
1980     54        22481.50
1980     55        22958.67
1981     12        33140.67
1981     13        32433.78
1981     14        32130.89
1981     15        32123.41
1981     16        31737.71
1981     17        30972.55
1981     18        30576.42
1981     19        29980.10
1981     20        29845.99
1981     21        29981.99
1981     22        30246.44
1981     23        30352.60
1981     24        30451.15
1981     25        30511.92
1981     26        30202.77
1981     27        29865.19
1981     28        30077.54
1981     29        28750.93
1981     30        28850.37
1981     31        29372.80
1981     32        29637.97
1981     33        30697.79
1981     34        31951.11
1981     35        31400.43
1981     36        28798.36
1981     37        27196.59
1981     38        24135.76
1981     39        22160.78
1981     40        20823.80
1981     41        21279.92
1981     42        20815.78
1981     43        20204.77
1981     44        19256.14
1981     45        18699.41
1981     46        18693.33
1981     47        18414.32
1981     48        19210.37
1981     49        20011.73
1981     50        21015.44
1981     51        20638.17
1981     52        20868.33
1981     53        21204.83
1981     54        21821.17
1981     55        22389.83
1982     12        32244.15
1982     13        33173.69
1982     14        32456.79
1982     15        32150.96
1982     16        32155.51
1982     17        31815.08
1982     18        31053.54
1982     19        30626.48
1982     20        30056.79
1982     21        29912.01
1982     22        30054.71
1982     23        30309.50
1982     24        30462.24
1982     25        30529.28
1982     26        30598.56
1982     27        30268.33
1982     28        29921.83
1982     29        30134.17
1982     30        28794.55
1982     31        28917.06
1982     32        29394.72
1982     33        29689.58
1982     34        30724.24
1982     35        31972.84
1982     36        31419.66
1982     37        28802.14
1982     38        27202.98
1982     39        24150.64
1982     40        22156.29
1982     41        20811.79
1982     42        21280.24
1982     43        20805.20
1982     44        20187.97
1982     45        19237.02
1982     46        18679.45
