"Country","Year","Age","ASFR"
"FIN",1946,27,0.19062
"FIN",1946,28,0.18532
"FIN",1946,29,0.17797
"FIN",1946,30,0.17386
"FIN",1946,31,0.16571
"FIN",1946,32,0.15553
"FIN",1946,33,0.1444
"FIN",1946,34,0.13566
"FIN",1946,35,0.13079
"FIN",1946,36,0.12059
"FIN",1946,37,0.10353
"FIN",1946,38,0.09338
"FIN",1946,39,0.08279
"FIN",1946,40,0.07112
"FIN",1946,41,0.05635
"FIN",1946,42,0.04394
"FIN",1946,43,0.03191
"FIN",1946,44,0.02247
"FIN",1946,45,0.01343
"FIN",1946,46,0.00682
"FIN",1946,47,0.00325
"FIN",1946,48,0.00144
"FIN",1946,49,0.00032
"FIN",1946,50,0.00027
"FIN",1946,51,1e-04
"FIN",1946,52,9e-05
"FIN",1946,53,6e-05
"FIN",1946,54,3e-05
"FIN",1946,55,2e-05
"FIN",1947,12,0
"FIN",1947,13,0
"FIN",1947,14,3e-05
"FIN",1947,15,0.00029
"FIN",1947,16,0.00225
"FIN",1947,17,0.01203
"FIN",1947,18,0.03749
"FIN",1947,19,0.0739
"FIN",1947,20,0.11517
"FIN",1947,21,0.14811
"FIN",1947,22,0.17605
"FIN",1947,23,0.19421
"FIN",1947,24,0.20193
"FIN",1947,25,0.2083
"FIN",1947,26,0.20851
"FIN",1947,27,0.2023
"FIN",1947,28,0.18753
"FIN",1947,29,0.17967
"FIN",1947,30,0.17492
"FIN",1947,31,0.16058
"FIN",1947,32,0.15012
"FIN",1947,33,0.13984
"FIN",1947,34,0.13142
"FIN",1947,35,0.1227
"FIN",1947,36,0.11633
"FIN",1947,37,0.10576
"FIN",1947,38,0.09314
"FIN",1947,39,0.08006
"FIN",1947,40,0.06828
"FIN",1947,41,0.0513
"FIN",1947,42,0.04388
"FIN",1947,43,0.03148
"FIN",1947,44,0.02012
"FIN",1947,45,0.01192
"FIN",1947,46,0.00749
"FIN",1947,47,0.00327
"FIN",1947,48,0.00152
"FIN",1947,49,0.00034
"FIN",1947,50,0.00018
"FIN",1947,51,5e-05
"FIN",1947,52,0.00014
"FIN",1947,53,0.00015
"FIN",1947,54,8e-05
"FIN",1947,55,4e-05
"FIN",1948,12,0
"FIN",1948,13,3e-05
"FIN",1948,14,1e-04
"FIN",1948,15,0.00033
"FIN",1948,16,0.0028
"FIN",1948,17,0.01389
"FIN",1948,18,0.0377
"FIN",1948,19,0.07648
"FIN",1948,20,0.11753
"FIN",1948,21,0.14924
"FIN",1948,22,0.18009
"FIN",1948,23,0.1916
"FIN",1948,24,0.2026
"FIN",1948,25,0.20532
"FIN",1948,26,0.20297
"FIN",1948,27,0.19913
"FIN",1948,28,0.19303
"FIN",1948,29,0.17452
"FIN",1948,30,0.17246
"FIN",1948,31,0.16037
"FIN",1948,32,0.1511
"FIN",1948,33,0.14335
"FIN",1948,34,0.13413
"FIN",1948,35,0.11793
"FIN",1948,36,0.11139
"FIN",1948,37,0.10488
"FIN",1948,38,0.088
"FIN",1948,39,0.08051
"FIN",1948,40,0.06694
"FIN",1948,41,0.0549
"FIN",1948,42,0.04261
"FIN",1948,43,0.0309
"FIN",1948,44,0.02111
"FIN",1948,45,0.0124
"FIN",1948,46,0.00603
"FIN",1948,47,0.00333
"FIN",1948,48,0.00142
"FIN",1948,49,5e-04
"FIN",1948,50,0.00039
"FIN",1948,51,0.00018
"FIN",1948,52,7e-05
"FIN",1948,53,4e-05
"FIN",1948,54,2e-05
"FIN",1948,55,1e-05
"FIN",1949,12,0
"FIN",1949,13,0
"FIN",1949,14,6e-05
"FIN",1949,15,0.00047
"FIN",1949,16,0.00323
"FIN",1949,17,0.01515
"FIN",1949,18,0.03945
"FIN",1949,19,0.07449
"FIN",1949,20,0.11676
"FIN",1949,21,0.14823
"FIN",1949,22,0.17007
"FIN",1949,23,0.18628
"FIN",1949,24,0.19546
"FIN",1949,25,0.19362
"FIN",1949,26,0.19003
"FIN",1949,27,0.18604
"FIN",1949,28,0.18364
"FIN",1949,29,0.17425
"FIN",1949,30,0.1608
"FIN",1949,31,0.15376
"FIN",1949,32,0.14167
"FIN",1949,33,0.1361
"FIN",1949,34,0.12746
"FIN",1949,35,0.11568
"FIN",1949,36,0.10796
"FIN",1949,37,0.09709
"FIN",1949,38,0.08899
"FIN",1949,39,0.08053
"FIN",1949,40,0.06399
"FIN",1949,41,0.05223
"FIN",1949,42,0.04182
"FIN",1949,43,0.03003
"FIN",1949,44,0.0202
"FIN",1949,45,0.01207
"FIN",1949,46,0.00622
"FIN",1949,47,0.00278
"FIN",1949,48,0.00182
"FIN",1949,49,7e-04
"FIN",1949,50,0.00012
"FIN",1949,51,9e-05
"FIN",1949,52,6e-05
"FIN",1949,53,4e-05
"FIN",1949,54,2e-05
"FIN",1949,55,1e-05
"FIN",1950,12,0
"FIN",1950,13,6e-05
"FIN",1950,14,0.00013
"FIN",1950,15,0.00045
"FIN",1950,16,0.00305
"FIN",1950,17,0.01418
"FIN",1950,18,0.03972
"FIN",1950,19,0.0746
"FIN",1950,20,0.11173
"FIN",1950,21,0.13884
"FIN",1950,22,0.1653
"FIN",1950,23,0.17407
"FIN",1950,24,0.18464
"FIN",1950,25,0.18408
"FIN",1950,26,0.18141
"FIN",1950,27,0.17576
"FIN",1950,28,0.17476
"FIN",1950,29,0.16234
"FIN",1950,30,0.15676
"FIN",1950,31,0.1444
"FIN",1950,32,0.13569
"FIN",1950,33,0.12549
"FIN",1950,34,0.1175
"FIN",1950,35,0.11447
"FIN",1950,36,0.10306
"FIN",1950,37,0.09119
"FIN",1950,38,0.08341
"FIN",1950,39,0.07364
"FIN",1950,40,0.06538
"FIN",1950,41,0.05032
"FIN",1950,42,0.03816
"FIN",1950,43,0.02747
"FIN",1950,44,0.01798
"FIN",1950,45,0.01039
"FIN",1950,46,0.00694
"FIN",1950,47,0.00222
"FIN",1950,48,0.00162
"FIN",1950,49,0.00077
"FIN",1950,50,0.00017
"FIN",1950,51,8e-05
"FIN",1950,52,8e-05
"FIN",1950,53,6e-05
"FIN",1950,54,3e-05
"FIN",1950,55,2e-05
"FIN",1951,12,0
"FIN",1951,13,0
"FIN",1951,14,1e-04
"FIN",1951,15,0.00048
"FIN",1951,16,0.00265
"FIN",1951,17,0.01189
"FIN",1951,18,0.03947
"FIN",1951,19,0.07012
"FIN",1951,20,0.10978
"FIN",1951,21,0.13561
"FIN",1951,22,0.16016
"FIN",1951,23,0.16853
"FIN",1951,24,0.1763
"FIN",1951,25,0.18
"FIN",1951,26,0.1747
"FIN",1951,27,0.17257
"FIN",1951,28,0.15997
"FIN",1951,29,0.1533
"FIN",1951,30,0.14906
"FIN",1951,31,0.14325
"FIN",1951,32,0.12951
"FIN",1951,33,0.1182
"FIN",1951,34,0.11397
"FIN",1951,35,0.10482
"FIN",1951,36,0.09379
"FIN",1951,37,0.08749
"FIN",1951,38,0.0776
"FIN",1951,39,0.06693
"FIN",1951,40,0.05876
"FIN",1951,41,0.04781
"FIN",1951,42,0.03769
"FIN",1951,43,0.02638
"FIN",1951,44,0.01644
"FIN",1951,45,0.00927
"FIN",1951,46,0.00544
"FIN",1951,47,0.00226
"FIN",1951,48,0.00159
"FIN",1951,49,0.00032
"FIN",1951,50,0.00037
"FIN",1951,51,4e-05
"FIN",1951,52,2e-05
"FIN",1951,53,1e-05
"FIN",1951,54,1e-05
"FIN",1951,55,1e-05
"FIN",1952,12,0
"FIN",1952,13,0
"FIN",1952,14,0.00012
"FIN",1952,15,0.00032
"FIN",1952,16,0.00315
"FIN",1952,17,0.01637
"FIN",1952,18,0.04099
"FIN",1952,19,0.07516
"FIN",1952,20,0.1149
"FIN",1952,21,0.14689
"FIN",1952,22,0.16689
"FIN",1952,23,0.17634
"FIN",1952,24,0.1913
"FIN",1952,25,0.17737
"FIN",1952,26,0.17839
"FIN",1952,27,0.16908
"FIN",1952,28,0.1646
"FIN",1952,29,0.15429
"FIN",1952,30,0.14896
"FIN",1952,31,0.13799
"FIN",1952,32,0.13206
"FIN",1952,33,0.12698
"FIN",1952,34,0.11379
"FIN",1952,35,0.10114
"FIN",1952,36,0.09459
"FIN",1952,37,0.08772
"FIN",1952,38,0.07001
"FIN",1952,39,0.06654
"FIN",1952,40,0.05718
"FIN",1952,41,0.04606
"FIN",1952,42,0.037
"FIN",1952,43,0.02566
"FIN",1952,44,0.01718
"FIN",1952,45,0.01003
"FIN",1952,46,0.00506
"FIN",1952,47,0.0027
"FIN",1952,48,0.00125
"FIN",1952,49,0.00048
"FIN",1952,50,0.00024
"FIN",1952,51,4e-05
"FIN",1952,52,5e-05
"FIN",1952,53,4e-05
"FIN",1952,54,2e-05
"FIN",1952,55,2e-05
"FIN",1953,12,0
"FIN",1953,13,3e-05
"FIN",1953,14,3e-05
"FIN",1953,15,0.00042
