"Country","Year","Age","ASFR","ASFR1","ASFR2","ASFR3","ASFR4","ASFR5p"
"FIN",1992,24,0.10189,0.05867,0.03287,0.0085,0.00161,0.00025
"FIN",1992,25,0.11945,0.06455,0.04165,0.01056,0.00224,0.00045
"FIN",1992,26,0.13752,0.06819,0.04926,0.01468,0.00412,0.00127
"FIN",1992,27,0.14384,0.06468,0.05517,0.01752,0.00451,0.00197
"FIN",1992,28,0.14716,0.05988,0.05747,0.02121,0.00566,0.00295
"FIN",1992,29,0.13969,0.04831,0.05631,0.02492,0.0068,0.00334
"FIN",1992,30,0.12828,0.03899,0.05139,0.02699,0.00698,0.00395
"FIN",1992,31,0.11561,0.03216,0.04494,0.02643,0.00849,0.00359
"FIN",1992,32,0.10023,0.02394,0.03659,0.0277,0.00832,0.00368
"FIN",1992,33,0.0871,0.0184,0.02954,0.02497,0.00949,0.0047
"FIN",1992,34,0.0701,0.01334,0.02284,0.02158,0.00802,0.00432
"FIN",1992,35,0.05929,0.01092,0.01869,0.01779,0.00721,0.00467
"FIN",1992,36,0.04813,0.00746,0.01408,0.01491,0.00695,0.00473
"FIN",1992,37,0.03664,0.00623,0.01076,0.01017,0.00519,0.0043
"FIN",1992,38,0.02911,0.0049,0.00888,0.0077,0.0038,0.00383
"FIN",1992,39,0.02118,0.00319,0.00526,0.00644,0.00312,0.00318
"FIN",1992,40,0.01542,0.00271,0.00308,0.00418,0.00239,0.00306
"FIN",1992,41,0.01069,0.00144,0.00245,0.00243,0.00198,0.0024
"FIN",1992,42,0.00703,0.00079,0.00152,0.00165,0.00112,0.00196
"FIN",1992,43,0.00443,0.00062,0.00085,0.00094,0.00076,0.00126
"FIN",1992,44,0.00199,0.00025,0.00014,5e-04,0.00043,0.00066
"FIN",1992,45,0.00126,0.00014,0.00018,0.00016,0.00018,6e-04
"FIN",1992,46,7e-04,0.00011,2e-05,7e-05,5e-05,0.00045
"FIN",1992,47,9e-05,3e-05,3e-05,0,0,3e-05
"FIN",1992,48,3e-05,0,0,0,0,3e-05
"FIN",1992,49,0,0,0,0,0,0
"FIN",1992,50,0,0,0,0,0,0
"FIN",1992,51,0,0,0,0,0,0
"FIN",1992,52,0,0,0,0,0,0
"FIN",1992,53,0,0,0,0,0,0
"FIN",1992,54,0,0,0,0,0,0
"FIN",1992,55,0,0,0,0,0,0
"FIN",1993,12,0,0,0,0,0,0
"FIN",1993,13,0,0,0,0,0,0
"FIN",1993,14,0.00012,0.00012,0,0,0,0
"FIN",1993,15,0.00053,0.00053,0,0,0,0
"FIN",1993,16,0.00268,0.00253,0.00015,0,0,0
"FIN",1993,17,0.00746,0.00706,4e-04,0,0,0
"FIN",1993,18,0.01489,0.01339,0.0015,0,0,0
"FIN",1993,19,0.02887,0.025,0.00377,1e-04,0,0
"FIN",1993,20,0.04324,0.03301,0.00912,0.00111,0,0
"FIN",1993,21,0.05474,0.03714,0.01492,0.00258,1e-04,0
"FIN",1993,22,0.06919,0.0436,0.02146,0.00381,0.00033,0
"FIN",1993,23,0.08342,0.04846,0.02763,0.006,0.00117,0.00016
"FIN",1993,24,0.1032,0.05921,0.03309,0.00858,0.00204,0.00027
"FIN",1993,25,0.11687,0.06086,0.04113,0.01159,0.00261,0.00067
"FIN",1993,26,0.13413,0.06775,0.04793,0.01432,0.00289,0.00125
"FIN",1993,27,0.14017,0.06036,0.05489,0.01864,0.00429,0.002
"FIN",1993,28,0.14189,0.05643,0.05618,0.02089,0.0058,0.0026
"FIN",1993,29,0.13761,0.04807,0.05628,0.02442,0.00614,0.0027
"FIN",1993,30,0.13022,0.04209,0.05248,0.0246,0.00739,0.00366
"FIN",1993,31,0.11373,0.03452,0.04191,0.02546,0.00801,0.00383
"FIN",1993,32,0.1024,0.02512,0.03948,0.02459,0.00855,0.00466
"FIN",1993,33,0.08397,0.01911,0.02927,0.02288,0.00802,0.00468
"FIN",1993,34,0.07193,0.0148,0.02395,0.02072,0.00784,0.0046
"FIN",1993,35,0.05913,0.01133,0.01833,0.01739,0.00797,0.00412
"FIN",1993,36,0.04641,0.00841,0.01334,0.01337,0.00628,0.005
"FIN",1993,37,0.03769,0.00668,0.01095,0.01037,0.00555,0.00413
"FIN",1993,38,0.02734,0.00445,0.00765,0.00689,0.00453,0.00382
"FIN",1993,39,0.02191,0.00374,0.0055,0.00602,0.00328,0.00337
"FIN",1993,40,0.01532,0.0023,0.00387,0.0039,0.0023,0.00295
"FIN",1993,41,0.00985,0.0013,0.00225,0.0026,0.00112,0.00259
"FIN",1993,42,0.0066,0.00074,0.00164,0.00158,0.00109,0.00153
"FIN",1993,43,0.00406,0.00041,0.00076,0.00115,0.00048,0.00127
"FIN",1993,44,0.00236,0.00025,0.00048,0.00048,3e-04,0.00085
"FIN",1993,45,0.00112,9e-05,0.00014,0.00027,0.00016,0.00046
"FIN",1993,46,0.00032,5e-05,2e-05,2e-05,2e-05,0.00021
"FIN",1993,47,0.00039,5e-05,7e-05,5e-05,5e-05,0.00018
"FIN",1993,48,3e-05,0,0,0,3e-05,0
"FIN",1993,49,3e-05,3e-05,0,0,0,0
"FIN",1993,50,4e-05,0,0,4e-05,0,0
"FIN",1993,51,0,0,0,0,0,0
"FIN",1993,52,0,0,0,0,0,0
"FIN",1993,53,0,0,0,0,0,0
"FIN",1993,54,0,0,0,0,0,0
"FIN",1993,55,0,0,0,0,0,0
"FIN",1994,12,0,0,0,0,0,0
"FIN",1994,13,6e-05,6e-05,0,0,0,0
"FIN",1994,14,3e-05,3e-05,0,0,0,0
"FIN",1994,15,0.00041,0.00041,0,0,0,0
"FIN",1994,16,0.00207,0.00198,6e-05,3e-05,0,0
"FIN",1994,17,0.00608,0.00559,0.00043,6e-05,0,0
"FIN",1994,18,0.01317,0.01156,0.00142,0.00019,0,0
"FIN",1994,19,0.0288,0.02404,0.00425,0.00048,3e-05,0
"FIN",1994,20,0.04184,0.03129,0.00962,0.00089,3e-05,0
"FIN",1994,21,0.05607,0.03847,0.01494,0.00229,0.00032,4e-05
"FIN",1994,22,0.06802,0.0409,0.022,0.00447,0.00051,0.00014
"FIN",1994,23,0.08501,0.0485,0.02727,0.00744,0.0016,2e-04
"FIN",1994,24,0.10202,0.05627,0.03444,0.00904,0.00191,0.00035
"FIN",1994,25,0.12169,0.06405,0.04092,0.01218,0.00365,9e-04
"FIN",1994,26,0.13442,0.06456,0.04915,0.01482,0.00418,0.00171
"FIN",1994,27,0.13732,0.06174,0.04966,0.01823,0.00495,0.00273
"FIN",1994,28,0.14034,0.05597,0.05405,0.0215,0.00579,0.00303
"FIN",1994,29,0.14062,0.04892,0.05547,0.02482,0.00764,0.00378
"FIN",1994,30,0.13036,0.03951,0.05236,0.02602,0.00794,0.00453
"FIN",1994,31,0.12009,0.03281,0.04724,0.0271,0.00793,0.00501
"FIN",1994,32,0.10505,0.02508,0.04057,0.02591,0.00876,0.00474
"FIN",1994,33,0.09117,0.02069,0.03257,0.02414,0.00836,0.00541
"FIN",1994,34,0.07511,0.01495,0.02574,0.02102,0.00807,0.00532
"FIN",1994,35,0.06391,0.01266,0.01969,0.01839,0.00746,0.00572
"FIN",1994,36,0.05098,0.00921,0.01522,0.01509,0.00669,0.00476
"FIN",1994,37,0.03945,0.00642,0.01122,0.01158,0.00571,0.00452
"FIN",1994,38,0.02922,0.00441,0.00791,0.00858,0.00411,0.00421
"FIN",1994,39,0.02157,0.00358,0.00514,0.00599,0.00333,0.00353
"FIN",1994,40,0.01519,0.00242,0.00371,0.00439,0.00202,0.00265
"FIN",1994,41,0.00965,0.00129,0.00187,0.00259,0.00174,0.00215
"FIN",1994,42,0.00729,0.00112,0.00132,0.00162,0.00105,0.00217
"FIN",1994,43,0.00438,0.00072,0.00084,0.00072,0.00057,0.00154
"FIN",1994,44,0.00229,0.00041,0.00026,0.00055,0.00026,0.00081
"FIN",1994,45,0.00101,0.00018,0.00018,0.00016,0.00011,0.00037
"FIN",1994,46,0.00064,5e-05,7e-05,0.00011,0.00014,0.00027
"FIN",1994,47,0.00018,2e-05,5e-05,2e-05,5e-05,5e-05
"FIN",1994,48,0.00011,0,2e-05,0,0,9e-05
"FIN",1994,49,3e-05,0,3e-05,0,0,0
"FIN",1994,50,3e-05,3e-05,0,0,0,0
"FIN",1994,51,4e-05,0,0,0,0,4e-05
"FIN",1994,52,0,0,0,0,0,0
"FIN",1994,53,0,0,0,0,0,0
"FIN",1994,54,0,0,0,0,0,0
"FIN",1994,55,0,0,0,0,0,0
"FIN",1995,12,0,0,0,0,0,0
"FIN",1995,13,0,0,0,0,0,0
"FIN",1995,14,1e-04,1e-04,0,0,0,0
"FIN",1995,15,0.00041,0.00041,0,0,0,0
"FIN",1995,16,0.0021,0.00207,3e-05,0,0,0
"FIN",1995,17,0.00615,0.00584,0.00031,0,0,0
"FIN",1995,18,0.01319,0.01199,0.00117,3e-05,0,0
"FIN",1995,19,0.02654,0.02296,0.00343,0.00015,0,0
"FIN",1995,20,0.03982,0.03029,0.00861,0.00093,0,0
"FIN",1995,21,0.05032,0.03341,0.01505,0.00166,0.00021,0
"FIN",1995,22,0.06706,0.03885,0.02279,0.00466,0.00075,0
"FIN",1995,23,0.08007,0.04674,0.02595,0.0063,0.00102,7e-05
"FIN",1995,24,0.09465,0.05259,0.03091,0.00936,0.00153,0.00026
"FIN",1995,25,0.11585,0.0609,0.03865,0.01213,0.00312,0.00105
"FIN",1995,26,0.12356,0.06113,0.04435,0.01298,0.00363,0.00147
"FIN",1995,27,0.13706,0.06289,0.04996,0.01721,0.00455,0.00246
"FIN",1995,28,0.13615,0.05585,0.05317,0.02002,0.0048,0.0023
"FIN",1995,29,0.13637,0.04816,0.05579,0.02281,0.00623,0.00338
"FIN",1995,30,0.12802,0.04048,0.05153,0.02466,0.00693,0.0044
"FIN",1995,31,0.12185,0.03611,0.04796,0.02498,0.0082,0.0046
"FIN",1995,32,0.10413,0.02673,0.03934,0.02518,0.00776,0.00512
"FIN",1995,33,0.09127,0.02075,0.03284,0.02433,0.00848,0.00487
"FIN",1995,34,0.07944,0.0173,0.02688,0.02216,0.00813,0.00496
"FIN",1995,35,0.0619,0.0129,0.02025,0.0176,0.00652,0.00462
"FIN",1995,36,0.05256,0.01031,0.01521,0.01521,0.00688,0.00495
"FIN",1995,37,0.04034,0.00712,0.01124,0.01158,0.00562,0.00479
"FIN",1995,38,0.02993,0.00535,0.00857,0.00759,0.00461,0.00382
"FIN",1995,39,0.02447,0.00469,0.00602,0.00641,0.00373,0.00362
"FIN",1995,40,0.01651,0.00285,0.00406,0.00376,0.00295,0.0029
"FIN",1995,41,0.01181,0.0023,0.00263,0.00273,0.00174,0.00242
"FIN",1995,42,0.00685,0.0011,0.00117,0.00164,0.00095,0.00199
"FIN",1995,43,0.00417,0.00052,0.00082,8e-04,0.00055,0.00147
"FIN",1995,44,0.00221,0.00017,0.00062,0.00037,0.00032,0.00072
"FIN",1995,45,0.00132,0.00014,0.00019,0.00026,0.00014,0.00057
"FIN",1995,46,0.00051,9e-05,5e-05,7e-05,5e-05,0.00025
"FIN",1995,47,0.00021,5e-05,0,2e-05,2e-05,0.00011
"FIN",1995,48,2e-05,0,0,0,0,2e-05
"FIN",1995,49,5e-05,0,0,5e-05,0,0
"FIN",1995,50,0,0,0,0,0,0
"FIN",1995,51,0,0,0,0,0,0
"FIN",1995,52,0,0,0,0,0,0
"FIN",1995,53,0,0,0,0,0,0
"FIN",1995,54,0,0,0,0,0,0
"FIN",1995,55,0,0,0,0,0,0
"FIN",1996,12,3e-05,3e-05,0,0,0,0
"FIN",1996,13,0,0,0,0,0,0
"FIN",1996,14,6e-05,6e-05,0,0,0,0
"FIN",1996,15,0.00038,0.00035,3e-05,0,0,0
"FIN",1996,16,0.00237,0.00234,3e-05,0,0,0
"FIN",1996,17,0.00682,0.00654,0.00025,3e-05,0,0
"FIN",1996,18,0.01329,0.01197,0.00125,6e-05,0,0
"FIN",1996,19,0.02547,0.02188,0.0034,0.00018,0,0
"FIN",1996,20,0.03904,0.03049,0.0079,0.00062,3e-05,0
"FIN",1996,21,0.05172,0.03588,0.01397,0.00171,0.00016,0
"FIN",1996,22,0.06401,0.04021,0.01915,0.00414,0.00051,0
"FIN",1996,23,0.07494,0.04246,0.02467,0.00641,0.00125,0.00014
"FIN",1996,24,0.09227,0.04862,0.03142,0.00947,0.00238,0.00037
"FIN",1996,25,0.10838,0.05768,0.0364,0.01085,0.00261,0.00085
"FIN",1996,26,0.12244,0.06078,0.04324,0.01384,0.00309,0.0015
"FIN",1996,27,0.12827,0.05736,0.04802,0.01648,0.00432,0.0021
"FIN",1996,28,0.13393,0.05414,0.05306,0.01864,0.00531,0.00278
"FIN",1996,29,0.13065,0.04944,0.05205,0.0201,0.00622,0.00283
"FIN",1996,30,0.1269,0.04188,0.04985,0.02507,0.00634,0.00375
"FIN",1996,31,0.11354,0.03424,0.04411,0.02408,0.00681,0.0043
"FIN",1996,32,0.1035,0.02791,0.03874,0.02511,0.00738,0.00436
"FIN",1996,33,0.08964,0.02297,0.03191,0.02275,0.00726,0.00475
"FIN",1996,34,0.07746,0.01896,0.02592,0.01971,0.00748,0.00539
"FIN",1996,35,0.0649,0.01349,0.02208,0.0181,0.00691,0.00433
"FIN",1996,36,0.0523,0.01018,0.01655,0.0145,0.0069,0.00417
"FIN",1996,37,0.04184,0.00824,0.01177,0.01158,0.00532,0.00492
"FIN",1996,38,0.03231,0.00544,0.00847,0.00875,0.00526,0.00439
